                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.8405,                0.93002,                 1.3565,                0.73648,                0.67972,                0.71335,                0.30727,                 1.8029,                 1.4456,                 2.2226,               0.006634,               0.006634,               0.006634
                     37,                0.81338,                0.92373,                 1.3335,                 0.7676,                0.72023,                0.79966,                0.34258,                 1.6587,                 1.1238,                 2.1355,               0.006535,               0.006535,               0.006535
                     38,                0.81927,                0.91182,                 1.3332,                0.73467,                0.73266,                 0.7704,                0.31179,                 1.7894,                 1.3298,                 2.2365,               0.006436,               0.006436,               0.006436
                     39,                0.85344,                0.91091,                 1.3598,                0.77092,                 0.5985,                0.76367,                0.31474,                 1.7885,                 1.2203,                 2.1225,               0.006337,               0.006337,               0.006337
                     40,                0.81484,                0.89406,                 1.3406,                0.62389,                 0.7206,                0.71077,                0.30416,                 1.7694,                 1.3095,                 2.2235,               0.006238,               0.006238,               0.006238
                     41,                0.83008,                0.89352,                 1.3456,                0.64861,                0.69232,                0.72337,                0.29587,                 1.8337,                 1.3184,                  2.315,               0.006139,               0.006139,               0.006139
                     42,                0.84591,                0.87488,                 1.3401,                  0.691,                0.70619,                0.74017,                0.30947,                 1.7134,                 1.2342,                  2.073,                0.00604,                0.00604,                0.00604
                     43,                0.82277,                0.84052,                 1.3367,                 0.7162,                0.74888,                0.77275,                0.34543,                 1.6716,                 1.1807,                 2.1139,               0.005941,               0.005941,               0.005941
                     44,                0.79011,                0.83526,                 1.3015,                0.76543,                0.75343,                0.81599,                0.32069,                 1.6686,                 1.1035,                 2.0821,               0.005842,               0.005842,               0.005842
                     45,                0.79027,                0.87249,                 1.3145,                0.67359,                0.65755,                0.68159,                0.31175,                 1.6282,                 1.3166,                 2.0202,               0.005743,               0.005743,               0.005743
                     46,                0.80968,                0.87646,                 1.3304,                0.78487,                0.81543,                0.83965,                 0.3533,                 1.6598,                 1.0825,                 2.0862,               0.005644,               0.005644,               0.005644
                     47,                0.79948,                0.84406,                 1.3227,                 0.6969,                 0.7824,                0.80387,                0.33944,                  1.723,                 1.1426,                 2.1538,               0.005545,               0.005545,               0.005545
                     48,                0.78591,                0.82507,                 1.3057,                 0.7584,                 0.7219,                0.76885,                0.29353,                 1.7355,                 1.3078,                 2.1894,               0.005446,               0.005446,               0.005446
                     49,                0.75719,                  0.827,                 1.2906,                0.52353,                 0.6498,                0.51723,                0.20967,                 1.9498,                 1.8819,                 2.5131,               0.005347,               0.005347,               0.005347
                     50,                 0.7461,                0.78795,                  1.284,                0.65333,                 0.8103,                0.79223,                0.33942,                  1.652,                 1.2527,                 2.1072,               0.005248,               0.005248,               0.005248
                     51,                0.76832,                0.78101,                 1.2929,                0.69357,                0.75955,                 0.7504,                0.34791,                 1.6876,                 1.3141,                 2.1092,               0.005149,               0.005149,               0.005149
                     52,                0.78458,                0.79371,                 1.2991,                0.76695,                0.61689,                0.71841,                0.31584,                  1.747,                 1.2793,                 2.1871,                0.00505,                0.00505,                0.00505
                     53,                0.76313,                0.81721,                 1.3038,                0.81372,                0.80272,                 0.8368,                0.35768,                 1.7126,                 1.0684,                 2.0646,               0.004951,               0.004951,               0.004951
                     54,                0.73122,                0.75847,                 1.2732,                  0.732,                0.78783,                0.83171,                0.35225,                  1.641,                  1.086,                 2.0855,               0.004852,               0.004852,               0.004852
                     55,                0.77384,                0.78695,                 1.3002,                0.56521,                0.72584,                0.64475,                 0.2863,                 1.7806,                   1.37,                 2.3019,               0.004753,               0.004753,               0.004753
                     56,                0.73383,                0.76466,                 1.2717,                 0.6769,                0.80598,                0.78825,                 0.3638,                 1.6564,                 1.2035,                 2.1575,               0.004654,               0.004654,               0.004654
                     57,                0.71674,                0.71526,                 1.2714,                0.69699,                0.70932,                0.77562,                0.33103,                 1.7097,                 1.2585,                 2.1503,               0.004555,               0.004555,               0.004555
                     58,                0.70942,                 0.7219,                 1.2462,                 0.7768,                 0.8149,                0.80892,                0.34665,                 1.7329,                 1.1145,                 2.2298,               0.004456,               0.004456,               0.004456
                     59,                0.73128,                0.76992,                 1.2847,                0.75824,                0.82355,                 0.8084,                0.36244,                 1.7364,                 1.0397,                 2.2382,               0.004357,               0.004357,               0.004357
                     60,                0.68856,                0.72501,                 1.2385,                0.82041,                0.79105,                0.83624,                0.35319,                 1.7322,                 1.0346,                 2.2488,               0.004258,               0.004258,               0.004258
                     61,                0.72239,                0.73191,                 1.2748,                0.75849,                0.75467,                0.78759,                 0.3214,                 1.7441,                  1.226,                 2.2344,               0.004159,               0.004159,               0.004159
                     62,                0.70976,                0.70692,                 1.2415,                0.75708,                 0.7427,                0.78809,                0.35009,                 1.6674,                 1.1723,                 2.1795,                0.00406,                0.00406,                0.00406
                     63,                0.71978,                0.71412,                 1.2544,                0.69263,                0.69651,                0.73872,                0.33613,                 1.6652,                 1.2754,                 2.2024,               0.003961,               0.003961,               0.003961
                     64,                0.66157,                0.67914,                 1.2142,                0.76714,                0.78184,                0.78709,                0.33905,                 1.7273,                 1.1419,                 2.2531,               0.003862,               0.003862,               0.003862
                     65,                0.67686,                0.68795,                 1.2219,                0.71161,                0.82003,                0.82398,                0.36846,                 1.7662,                 1.0578,                 2.3348,               0.003763,               0.003763,               0.003763
                     66,                 0.6634,                0.67847,                  1.207,                0.78758,                0.75431,                0.79528,                 0.3592,                 1.6879,                 1.0503,                 2.2296,               0.003664,               0.003664,               0.003664
                     67,                0.63124,                0.65093,                 1.1894,                0.76884,                0.80169,                 0.8365,                0.35778,                 1.7589,                 1.0713,                 2.2896,               0.003565,               0.003565,               0.003565
                     68,                 0.6324,                0.62907,                 1.1892,                0.80694,                0.84694,                0.83134,                0.35662,                 1.7403,                 1.1512,                 2.2784,               0.003466,               0.003466,               0.003466
                     69,                0.62811,                0.65763,                 1.1936,                0.74691,                0.77893,                0.78881,                0.37241,                 1.6307,                 1.1616,                 2.1148,               0.003367,               0.003367,               0.003367
                     70,                0.65427,                0.66693,                  1.228,                0.66849,                0.80468,                0.77648,                0.38928,                 1.6649,                 1.1962,                 2.0359,               0.003268,               0.003268,               0.003268
                     71,                0.62975,                 0.6491,                 1.1979,                0.78011,                0.74482,                 0.8127,                0.37391,                 1.6971,                 1.1017,                 2.2344,               0.003169,               0.003169,               0.003169
                     72,                0.65115,                0.65667,                 1.2112,                0.82358,                0.75093,                 0.8302,                0.34912,                 1.8018,                 1.1262,                 2.3487,                0.00307,                0.00307,                0.00307
                     73,                0.62096,                0.60768,                 1.1851,                0.69885,                 0.7706,                0.77316,                0.34671,                 1.8656,                 1.1768,                 2.4609,               0.002971,               0.002971,               0.002971
                     74,                0.64564,                0.65653,                 1.1892,                0.78565,                0.72723,                0.73981,                0.34814,                 1.7326,                  1.199,                 2.2539,               0.002872,               0.002872,               0.002872
                     75,                0.60691,                0.57818,                 1.1751,                0.80153,                0.83383,                0.82177,                0.36317,                 1.7388,                 1.0508,                 2.2762,               0.002773,               0.002773,               0.002773
