timestamp,egg_id,x1,y1,x2,y2,confidence,class,diameter_px,diameter_mm,size_category,weight_g,grade
2026-07-21T18:36:28.803701,14,2,2,1082,1073,0.3056,Damaged,1080,97.2,Large,80,Reject
2026-07-21T18:36:28.898569,5,0,0,1920,1080,0.7966,Damaged,1920,172.8,Large,80,Reject
2026-07-21T18:36:28.898644,15,0,258,1392,1080,0.5237,Damaged,1392,125.28,Large,80,Reject
2026-07-21T18:36:29.034998,16,0,4,1416,1080,0.517,Damaged,1416,127.44,Large,80,Reject
2026-07-21T18:36:29.035174,17,1458,12,1920,1073,0.4809,Not Damaged,1061,95.49,Large,80,A
2026-07-21T18:36:29.035216,18,1251,9,1918,1080,0.3919,Not Damaged,1071,96.39,Large,80,A
2026-07-21T18:36:29.145147,14,0,0,1014,1075,0.551,Not Damaged,1075,96.75,Large,80,A
2026-07-21T18:36:29.145219,18,1294,5,1920,1077,0.3489,Not Damaged,1072,96.48,Large,80,A
2026-07-21T18:36:29.269724,14,0,0,923,1073,0.5878,Not Damaged,1073,96.57,Large,80,A
2026-07-21T18:36:29.269809,17,1481,8,1920,1063,0.3082,Not Damaged,1055,94.95,Large,80,A
2026-07-21T18:36:29.378560,19,0,0,1265,1071,0.5285,Damaged,1265,113.85,Large,80,Reject
2026-07-21T18:36:29.464806,19,5,0,1212,1071,0.6508,Damaged,1207,108.63,Large,80,Reject
2026-07-21T18:36:29.547187,14,0,2,890,1071,0.4263,Not Damaged,1069,96.21,Large,80,A
2026-07-21T18:36:29.630600,14,0,3,886,1067,0.4506,Not Damaged,1064,95.76,Large,80,A
2026-07-21T18:36:29.715569,16,0,14,1489,1074,0.6639,Damaged,1489,134.01,Large,80,Reject
2026-07-21T18:36:29.798723,19,0,1,1149,1074,0.4457,Not Damaged,1149,103.41,Large,80,A
2026-07-21T18:36:29.893391,14,0,8,794,1075,0.3782,Not Damaged,1067,96.03,Large,80,A
2026-07-21T18:36:29.893468,19,0,5,1168,1074,0.389,Not Damaged,1168,105.12,Large,80,A
2026-07-21T18:36:30.004960,14,0,11,851,1073,0.4671,Not Damaged,1062,95.58,Large,80,A
2026-07-21T18:36:30.090658,14,0,8,769,1074,0.5101,Not Damaged,1066,95.94,Large,80,A
2026-07-21T18:36:30.176764,14,0,10,783,1075,0.5173,Not Damaged,1065,95.85,Large,80,A
2026-07-21T18:36:30.256685,14,0,18,737,1077,0.4262,Not Damaged,1059,95.31,Large,80,A
2026-07-21T18:36:30.342036,14,0,18,723,1076,0.3703,Not Damaged,1058,95.22,Large,80,A
2026-07-21T18:36:30.420793,14,0,17,730,1076,0.4314,Not Damaged,1059,95.31,Large,80,A
2026-07-21T18:36:30.503939,14,0,11,743,1074,0.4392,Not Damaged,1063,95.67,Large,80,A
2026-07-21T18:36:30.587560,14,0,12,725,1073,0.4659,Not Damaged,1061,95.49,Large,80,A
2026-07-21T18:36:30.672776,14,0,11,702,1074,0.4265,Not Damaged,1063,95.67,Large,80,A
